,Unnamed: 0,ID,Population,Labor Part.,Employment,Unemployment,YEAR,AGE,SEX2,HISPAN2,MIGRATE1,PERWT,Total_weighted
203,203,36103,1137379,65.7,62.6,4.6,2007,27.055555555555557,0.6666666666666666,0.9444444444444444,18.0,2958.0,53244.0
204,204,37001,114247,67.6,64.1,5.1,2007,32.0,0.0,0.0,1.0,55.0,55.0
205,205,37025,124142,71.5,65.6,8.3,2007,27.0,0.5,0.5,4.0,741.0,2964.0
206,206,37035,122722,64.9,60.8,6.2,2007,22.0,1.0,1.0,1.0,86.0,86.0
207,207,37051,228744,65.2,51.6,9.3,2007,30.222222222222207,0.6666666666666666,0.8888888888888888,9.0,620.0,5580.0
208,208,37057,124990,66.0,59.5,9.7,2007,36.333333333333336,0.0,0.0,3.0,539.0,1617.0
209,209,37067,264646,64.8,61.2,5.4,2007,30.0,0.6,0.6,5.0,417.0,2085.0
210,210,37081,367392,68.0,62.5,8.1,2007,28.684210526315788,0.3684210526315789,0.4736842105263158,19.0,2090.0,39710.0
211,211,37097,117565,68.9,65.1,5.5,2007,19.0,0.0,0.0,1.0,117.0,117.0
212,212,37119,661139,73.7,68.7,6.7,2007,30.54545454545455,0.2727272727272727,0.6666666666666666,33.0,4810.0,158730.0
213,213,37133,122977,69.0,36.3,8.0,2007,22.0,0.6666666666666666,0.3333333333333333,3.0,96.0,288.0
214,214,37147,119786,64.1,59.6,6.6,2007,29.16666666666667,0.6666666666666666,1.0,6.0,536.0,3216.0
215,215,37151,110041,67.2,61.8,8.0,2007,25.33333333333333,0.6666666666666666,0.3333333333333333,3.0,273.0,819.0
216,216,37155,96819,56.3,52.3,7.0,2007,22.66666666666667,0.3333333333333333,0.3333333333333333,3.0,660.0,1980.0
217,217,37179,138781,70.3,66.5,5.4,2007,15.5,0.5,0.0,2.0,507.0,1014.0
218,218,37191,87803,60.3,54.0,7.4,2007,41.0,1.0,0.0,1.0,54.0,54.0
219,219,38017,109679,76.0,72.7,4.0,2007,18.5,0.0,0.75,4.0,752.0,3008.0
220,220,39017,279272,65.3,61.6,5.6,2007,30.0,0.3333333333333333,0.3333333333333333,3.0,960.0,2880.0
221,221,39029,87974,60.8,55.8,8.3,2007,24.0,0.3333333333333333,0.6666666666666666,3.0,286.0,858.0
